title,content,option_a,option_b,option_c,option_d,option_e,correct_answer,category,difficulty,year,hint,solution_idea,explanation,tags,is_active
C Q.001,"int a=5, b;
b = 3+a*2-a/2;
a = a+b;
a,b的值為何？","a=15.5, b=10.5","a=16, b=11","a=10, b=5","a=10.5, b=5.5",程式錯誤,B,變數與運算,easy,,,,"先乘除後加減：a/2 是整數除法，5/2=2；a*2=10；所以 b=3+10-2=11。接著 a=a+b=5+11=16。最終 a=16, b=11。","C程式,程式識讀,變數與運算",True
C Q.002,"int a=0, b;
a = (5+2)*(7-2*3);
b = (a-4*(a-5))*2;
a,b的值為何？","a=7, b=-2","a=105, b=-325","a=51, b=-9","a=0, b=0",以上皆非或程式錯誤,A,變數與運算,easy,,,,括號優先計算：7-2*3=1，(5+2)*1=7，所以 a=7。b=(a-4*(a-5))*2=(7-4*2)*2=(7-8)*2=-2。,"C程式,程式識讀,變數與運算",True
C Q.003,"int a,b=2;
a = 5;
a+3 = b+7;
a,b的值為何？","a=5, b=2","a=5, b=9","a=6, b=2","a=6, b=9",以上皆非或程式錯誤,E,變數與運算,easy,,,,C 語言中指定運算子（=）左邊必須是可以被賦值的變數（lvalue），a+3 是一個運算式而不是變數，因此 a+3 = b+7 這行會編譯錯誤。,"C程式,程式識讀,變數與運算",True
C Q.004,"int q[10],head=0,tail=0;
void push(int c):
x
return;
int pop():
int c = q[head];
y
return c;
此程式中 q 是用來當作一個簡易先進先出的佇
列(queue)。push 與 pop 兩函數中所缺的指
令 x 與 y 應填入下列何者？此處不考慮佇列是
空與滿的狀況。",x: q[++tail]=c; y: head++;,x: q[tail++]=c; y: head++;,x: q[++tail]=c; y: head--;,x: q[tail++]=c; y: head--;,以上皆非,B,資料結構,medium,,,,這是簡易佇列（queue）的實作：push 把新元素放到 tail 再把 tail 往後移一格（q[tail++]=c），pop 則是先取出 head 位置的值，再把 head 往後移一格（head++）。,"C程式,程式識讀,資料結構",True
C Q.005,"int a = 2, b;
a = 3.5;
b = 3/5*5;
a,b的值為何？","a=3, b=3","a=3.5, b=3","a=2, b=0","a=3, b=0",以上皆非或程式錯誤,D,變數與運算,easy,,,,a 是 int 型別，a=3.5 賦值時小數部分會被捨去變成 3。b 的計算 3/5*5 由左至右：3/5 是整數除法等於 0，0*5=0，所以 b=0。,"C程式,程式識讀,變數與運算",True
C Q.006,"int q[5]={2,-3,6,-2,0},i=0;
while (q[i] != 0) {
i = (i+q[i])%5;
}
printf(""%d\n"",i);
執行結果為何？",輸出4,輸出5,輸出3,無窮迴圈,以上皆非或程式錯誤,E,陣列,medium,,,,追蹤 i 的變化：i=0→2→3→1。到 i=1 時 q[1]=-3，(1+(-3))%5 在 C 中結果是 -2（餘數與被除數同號），下一輪存取 q[-2] 已經超出陣列範圍，屬於未定義行為（程式錯誤）。,"C程式,程式識讀,陣列",True
C Q.007,"int a = 5, b = 3;
b = a; a = b;
printf(""%d %d\n"",a,b);
輸出為何？",3 5,3 3,5 5,0 0,以上皆非或程式錯誤,C,流程控制,easy,,,,依照敘述順序執行：先把 a 的值 5 存進 b（b=a），再把 b（此時為 5）存回 a（a=b），所以 a、b 最終都是 5。,"C程式,流程控制,程式識讀",True
C Q.008,"int s[12]={1,1,-3,2,4,-1,2,3,-5,2,-1,1};
int q[12], head=0, tail=0, i;
for (i=0; i<12; i++) {
if (s[i] > 0)
q[tail++] = s[i];
else {
while (s[i] < 0 && head<tail) {
s[i] += q[head++];
}
}
}
int isum = 0;
for (i=head; i<tail; i++)
isum += q[i];
printf(""%d\n"", isum);
輸出為何？",1,3,4,6,以上皆非或程式錯誤,B,資料結構,hard,,,,"這一段用陣列 q 模擬簡易 stack：碰到正數就壓入，碰到負數就持續彈出前面的正數來抵銷，直到抵銷完或 stack 空了為止。依序處理輸入 {1,1,-3,2,4,-1,2,3,-5,2,-1,1}：-3 消掉前面的 (1,1) 中的一個 1 再消掉部分 2……逐步模擬後，stack 中剩下的元素總和是 3。","C程式,程式識讀,資料結構",True
C Q.009,"int p=0,q=0,i;
char s[13]=""axxbcdxefxxg"",t[9];
for (i=0; i<12; i++) {
if (s[i] == 'x') {
if (p < q) p++;
} else {
t[q++] = s[i];
}
}
t[q] = '\0';
printf(""%s\n"",t+p);

輸出為何？",efg,cdg,bcg,abcdefg,以上皆非或程式錯誤,A,資料結構,medium,,,,"陣列 t 被當作佇列使用，p 是 head、q 是 tail：遇到非 x 的字元就壓入 t（t[q++]=s[i]），遇到 x 就從 t 前端彈出一個（if p<q: p++）。逐一處理 ""axxbcdxefxxg"" 後，最終 t 中從 p 到 q 的內容是 ""efg""。","C程式,程式識讀,資料結構",True
C Q.010,"int p=0,i;
char s[13]=""axxbcdxefxxg"",t[9];
for (i=0; i<12; i++) {
if (s[i] == 'x') {
if (p > 0) {
p--;
printf(""%c"",t[p]);
}
} else {
t[p++] = s[i];
}
}
輸出為何？",abcd,abcdefg,abefg,adfe,以上皆非或程式錯誤,D,資料結構,medium,,,,"這段用陣列 t 當作 stack，p 是 top 之後的位置：遇到非 x 就壓入（t[p++]=s[i]），遇到 x 就彈出並印出最上面的元素（if p>0: p--; print t[p]）。依序處理 ""axxbcdxefxxg"" 後，輸出為 ""adfe""。","C程式,程式識讀,資料結構",True
C Q.011,"int s[15]={1,1,-3,3,4,-1,2,3,-5,2,1,-1};
int q[15],t=0, i;
for (i=0; i<12; i++) {
if (s[i] > 0) q[t++] = s[i];
else {
while (s[i] < 0 && t > 0) {
s[i] += q[--t];
}
}
}
int total = 0;
while (t>0) total += q[--t];
printf(""%d"", total);
輸出為何？",1,3,5,7,以上皆非或程式錯誤,C,資料結構,hard,,,,"陣列 q 被當作 stack：正數壓入，負數則持續彈出抵銷直到抵銷完或 stack 空了。處理完 {1,1,-3,3,4,-1,2,3,-5,2,1,-1} 後，stack 中剩下的元素是 {3,2}，加總為 5。","C程式,程式識讀,資料結構",True
C Q.012,"int a=3;
float f, x;
f = a/2 + 0.5;
x = a/4.0 + 0.5;
f與x的值為何？","f=2.0, x = 1.25","f=2.0, x = 0.5","f=1.5, x = 0.5","f=1.5, x = 1.25",以上皆非或程式錯誤,D,變數與運算,easy,,,,a=3 為整數：a/2 是整數除法等於 1，所以 f=1+0.5=1.5。a/4.0 因為 4.0 是浮點數，會做浮點數除法得到 0.75，所以 x=0.75+0.5=1.25。,"C程式,程式識讀,變數與運算",True
C Q.013,"int a=4,b=2;
char c,d;
c = 'a'+a;
d = 5;
b += d;
printf(""%c,%d\n"",c,b);
則輸出為何？","a,55","a,7","e,7","e,55",以上皆非或程式錯誤,C,變數與運算,easy,,,,"'a'+a 等於 'a' 之後第 4 個字元，即 'e'，所以 c='e'。char 可以當成整數運算：b += d 就是 2+5=7。輸出為 e,7。","C程式,程式識讀,變數與運算",True
